,name,director,link,year,runtime,genre,a_rate,a_ppl,gross
0,Mulholland Drive,David Lynch,/title/tt0166924/,2001,147,"Drama, Mystery, Thriller",7.9,"341,043",$7.22M
1,In the Mood for Love,Kar-Wai Wong,/title/tt0118694/,2000,147,"Drama, Romance",8.1,"139,367",$2.73M
2,There Will Be Blood,Paul Thomas Anderson,/title/tt0469494/,2007,147,Drama,8.2,"552,093",$40.22M
3,Spirited Away,Hayao Miyazaki,/title/tt0245429/,2001,147,"Animation, Adventure, Family",8.6,"705,017",$10.06M
4,Boyhood,Richard Linklater,/title/tt1065073/,2014,147,Drama,7.9,"346,385",$25.38M
5,Eternal Sunshine of the Spotless Mind,Michel Gondry,/title/tt0338013/,2004,147,"Drama, Romance, Sci-Fi",8.3,"957,713",$34.40M
6,The Tree of Life,Terrence Malick,/title/tt0478304/,2011,147,"Drama, Fantasy",6.8,"173,109",$13.30M
7,Yi Yi: A One and a Two...,Edward Yang,/title/tt0244316/,2000,147,"Drama, Romance",8.2,"22,955",$1.14M
8,A Separation,Asghar Farhadi,/title/tt1832382/,2011,147,Drama,8.3,"234,266",$7.10M
9,No Country for Old Men,Ethan Coen,/title/tt0477348/,2007,147,"Crime, Drama, Thriller",8.1,"913,251",$74.28M
10,Inside Llewyn Davis,Ethan Coen,/title/tt2042568/,2013,147,"Comedy, Drama, Music",7.5,"148,032",$13.24M
11,Zodiac,David Fincher,/title/tt0443706/,2007,147,"Crime, Drama, Mystery",7.7,"505,680",$33.08M
12,Children of Men,Alfonso Cuarón,/title/tt0206634/,2006,147,"Action, Drama, Sci-Fi",7.9,"483,730",$35.55M
13,The Act of Killing,Joshua Oppenheimer,/title/tt2375605/,2012,147,"Documentary, Biography, Crime",8.2,"37,017",$0.49M
14,"4 Months, 3 Weeks and 2 Days",Cristian Mungiu,/title/tt1032846/,2007,147,Drama,7.9,"58,864",$1.19M
15,Holy Motors,Leos Carax,/title/tt2076220/,2012,147,"Drama, Fantasy",7.1,"44,716",NaN
16,Pan's Labyrinth,Guillermo del Toro,/title/tt0457430/,2006,147,"Drama, Fantasy, War",8.2,"644,040",$37.63M
17,The White Ribbon,Michael Haneke,/title/tt1149362/,2009,147,"Drama, History, Mystery",7.8,"71,696",$2.22M
18,Mad Max: Fury Road,George Miller,/title/tt1392190/,2015,147,"Action, Adventure, Sci-Fi",8.1,"940,680",$154.06M
19,"Synecdoche, New York",Charlie Kaufman,/title/tt0383028/,2008,147,Drama,7.6,"88,143",$3.08M
20,The Grand Budapest Hotel,Wes Anderson,/title/tt2278388/,2014,147,"Adventure, Comedy, Crime",8.1,"756,726",$59.10M
21,Lost in Translation,Sofia Coppola,/title/tt0335266/,2003,147,"Comedy, Drama",7.7,"436,798",$44.59M
22,Caché (Hidden),Michael Haneke,/title/tt0387898/,2005,147,"Drama, Mystery, Thriller",7.3,"77,538",$3.63M
23,The Master,Paul Thomas Anderson,/title/tt1560747/,2012,147,Drama,7.2,"165,389",$16.38M
24,Memento,Christopher Nolan,/title/tt0209144/,2000,147,"Mystery, Thriller",8.4,"1,180,373",$25.54M
25,25th Hour,Spike Lee,/title/tt0307901/,2002,147,Drama,7.6,"175,538",$13.06M
26,The Social Network,David Fincher,/title/tt1285016/,2010,147,"Biography, Drama",7.7,"662,449",$96.96M
27,Talk to Her,Pedro Almodóvar,/title/tt0287467/,2002,147,"Drama, Mystery, Romance",7.9,"109,484",$9.28M
28,WALL·E,Andrew Stanton,/title/tt0910970/,2008,147,"Animation, Adventure, Family",8.4,"1,054,012",$223.81M
29,Oldboy,Park Chan-Wook,/title/tt0364569/,2003,147,"Action, Drama, Mystery",8.4,"547,898",$0.71M
30,Margaret,Kenneth Lonergan,/title/tt0466893/,2011,147,Drama,6.5,"17,062",$0.05M
31,The Lives of Others,Florian Henckel von Donnersmarck,/title/tt0405094/,2006,147,"Drama, Mystery, Thriller",8.4,"376,024",$11.29M
32,The Dark Knight,Christopher Nolan,/title/tt0468569/,2008,147,"Action, Crime, Drama",9,"2,452,669",$534.86M
33,Son of Saul,László Nemes,/title/tt3808342/,2015,147,"Drama, War",7.5,"47,485",$1.78M
34,"Crouching Tiger, Hidden Dragon",Ang Lee,/title/tt0190332/,2000,147,"Action, Adventure, Drama",7.8,"262,395",$128.08M
35,Timbuktu,Abderrahmane Sissako,/title/tt3409392/,2014,147,"Drama, War",7.2,"17,112",$1.08M
36,Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,/title/tt1588895/,2010,147,"Drama, Fantasy",6.7,"15,118",$0.18M
37,City of God,Fernando Meirelles,/title/tt0317248/,2002,147,"Crime, Drama",8.6,"727,786",$7.56M
38,The New World,Terrence Malick,/title/tt0402399/,2005,147,"Biography, Drama, History",6.7,"85,138",$12.71M
39,Brokeback Mountain,Ang Lee,/title/tt0388795/,2005,147,"Drama, Romance",7.7,"342,041",$83.04M
40,Inside Out,Pete Docter,/title/tt2096673/,2015,147,"Animation, Adventure, Comedy",8.1,"663,141",$356.46M
41,Amour,Michael Haneke,/title/tt1602620/,2012,147,Drama,7.9,"97,358",$6.74M
42,Melancholia,Lars von Trier,/title/tt1527186/,2011,147,"Drama, Sci-Fi",7.2,"175,862",$3.03M
43,12 Years a Slave,Steve McQueen,/title/tt2024544/,2013,147,"Biography, Drama, History",8.1,"670,824",$56.67M
44,Blue Is the Warmest Colour,Abdellatif Kechiche,/title/tt2278871/,2013,147,"Drama, Romance",7.7,"146,111",$2.20M
45,Certified Copy,Abbas Kiarostami,/title/tt1020773/,2010,147,"Drama, Romance",7.3,"23,451",$1.34M
46,Leviathan,Andrey Zvyagintsev,/title/tt2802154/,2014,147,"Crime, Drama",7.6,"51,957",$1.09M
47,Brooklyn,John Crowley,/title/tt2381111/,2015,147,"Drama, Romance",7.5,"137,626",$38.32M
48,Goodbye to Language,Jean-Luc Godard,/title/tt2400275/,2014,147,"Drama, Fantasy",5.9,"5,759",NaN
49,The Assassin,Hsiao-Hsien Hou,/title/tt3508840/,2015,147,"Action, Drama, History",6.3,"16,522",$0.61M
50,Inception,Christopher Nolan,/title/tt1375666/,2010,147,"Action, Adventure, Sci-Fi",8.8,"2,200,874",$292.58M
51,Tropical Malady,Apichatpong Weerasethakul,/title/tt0381668/,2004,147,"Drama, Fantasy, Romance",7.2,"5,477",NaN
52,Moulin Rouge!,Baz Luhrmann,/title/tt0203009/,2001,147,"Drama, Musical, Romance",7.6,"275,728",$57.39M
53,Once Upon a Time in Anatolia,Nuri Bilge Ceylan,/title/tt1827487/,2011,147,"Crime, Drama",7.9,"44,945",$0.14M
54,Ida,Pawel Pawlikowski,/title/tt2718492/,2013,147,Drama,7.4,"56,162",$3.83M
55,Werckmeister Harmonies,Béla Tarr,/title/tt0249241/,2000,147,"Drama, Mystery",8.1,"13,720",$0.03M
56,Zero Dark Thirty,Kathryn Bigelow,/title/tt1790885/,2012,147,"Drama, History, Thriller",7.4,"287,889",$95.72M
57,Moolaadé,Ousmane Sembene,/title/tt0416991/,2004,147,Drama,7.6,"3,778",$0.21M
58,A History of Violence,David Cronenberg,/title/tt0399146/,2005,147,"Action, Crime, Drama",7.4,"231,629",$31.49M
59,Syndromes and a Century,Apichatpong Weerasethakul,/title/tt0477731/,2006,147,Drama,7.4,"4,079",$0.02M
60,Under the Skin,Jonathan Glazer,/title/tt1441395/,2013,147,"Drama, Horror, Sci-Fi",6.4,"137,323",$2.61M
61,Inglourious Basterds,Quentin Tarantino,/title/tt0361748/,2009,147,"Adventure, Drama, War",8.3,"1,351,511",$120.54M
62,The Turin Horse,Béla Tarr,/title/tt1316540/,2011,147,Drama,7.8,"17,056",$0.05M
63,The Great Beauty,Paolo Sorrentino,/title/tt2358891/,2013,147,Drama,7.8,"85,646",$2.85M
64,Fish Tank,Andrea Arnold,/title/tt1232776/,2009,147,Drama,7.3,"61,216",$0.37M
65,"Spring, Summer, Fall, Winter... and Spring",Kim Ki-duk,/title/tt0374546/,2003,147,"Drama, Romance",8,"80,994",$2.38M
66,The Hurt Locker,Kathryn Bigelow,/title/tt0887912/,2008,147,"Drama, Thriller, War",7.5,"437,597",$17.02M
67,The Royal Tenenbaums,Wes Anderson,/title/tt0265666/,2001,147,"Comedy, Drama",7.6,"280,061",$52.36M
68,Carol,Todd Haynes,/title/tt2402927/,2015,147,"Drama, Romance",7.3,"123,420",$12.71M
69,Stories We Tell,Sarah Polley,/title/tt2366450/,2012,147,Documentary,7.6,"13,008",$1.60M
70,Tabu,Miguel Gomes,/title/tt2153963/,2012,147,"Drama, Romance",7.3,"6,910",NaN
71,Only Lovers Left Alive,Jim Jarmusch,/title/tt1714915/,2013,147,"Comedy, Drama, Fantasy",7.3,"97,143",$1.88M
72,Before Sunset,Richard Linklater,/title/tt0381681/,2004,147,"Drama, Romance",8.1,"250,685",$5.82M
73,Spring Breakers,Harmony Korine,/title/tt2101441/,2012,147,"Crime, Drama",5.3,"139,666",$14.12M
74,Inherent Vice,Paul Thomas Anderson,/title/tt1791528/,2014,147,"Comedy, Crime, Drama",6.7,"100,138",$8.11M
75,Dogville,Lars von Trier,/title/tt0276919/,2003,147,"Crime, Drama",8,"144,503",$1.53M
76,The Diving Bell and the Butterfly,Julian Schnabel,/title/tt0401383/,2007,147,"Biography, Drama",8,"106,118",$5.99M
77,The Wolf of Wall Street,Martin Scorsese,/title/tt0993846/,2013,147,"Biography, Comedy, Crime",8.2,"1,288,247",$116.90M
78,Almost Famous,Cameron Crowe,/title/tt0181875/,2000,147,"Adventure, Comedy, Drama",7.9,"267,210",$32.53M
79,The Return,Andrey Zvyagintsev,/title/tt0376968/,2003,147,Drama,8,"44,544",$0.50M
80,Shame,Steve McQueen,/title/tt1723811/,2011,147,Drama,7.2,"190,826",$4.00M
81,A Serious Man,Ethan Coen,/title/tt1019452/,2009,147,"Comedy, Drama",7.1,"139,129",$9.19M
82,A.I. Artificial Intelligence,Steven Spielberg,/title/tt0212720/,2001,147,"Drama, Sci-Fi",7.2,"300,164",$78.62M
83,Her,Spike Jonze,/title/tt1798709/,2013,147,"Drama, Romance, Sci-Fi",8,"574,833",$25.57M
84,A Prophet,Jacques Audiard,/title/tt1235166/,2009,147,"Crime, Drama",7.9,"96,836",$2.08M
85,Far from Heaven,Todd Haynes,/title/tt0297884/,2002,147,"Drama, Romance",7.4,"45,674",$15.85M
86,Amélie,Jean-Pierre Jeunet,/title/tt0211915/,2001,147,"Comedy, Romance",8.3,"730,374",$33.23M
87,Spotlight,Tom McCarthy,/title/tt1895587/,2015,147,"Biography, Crime, Drama",8.1,"447,683",$45.06M
88,La mujer sin cabeza,Lucrecia Martel,/title/tt1221141/,2008,147,"Drama, Mystery, Thriller",6.6,"5,042",$0.10M
89,The Pianist,Roman Polanski,/title/tt0253474/,2002,147,"Biography, Drama, Music",8.5,"780,961",$32.57M
90,The Secret in Their Eyes,Juan José Campanella,/title/tt1305806/,2009,147,"Drama, Mystery, Romance",8.2,"202,692",$6.39M
91,The Assassination of Jesse James by the Coward Robert Ford,Andrew Dominik,/title/tt0443680/,2007,147,"Biography, Crime, Drama",7.5,"175,876",$3.90M
92,Ratatouille,Brad Bird,/title/tt0382932/,2007,147,"Animation, Adventure, Comedy",8,"677,228",$206.45M
93,Let the Right One In,Tomas Alfredson,/title/tt1139797/,2008,147,"Crime, Drama, Fantasy",7.9,"211,843",$2.12M
94,Moonrise Kingdom,Wes Anderson,/title/tt1748122/,2012,147,"Comedy, Drama, Romance",7.8,"335,434",$45.51M
95,Finding Nemo,Andrew Stanton,/title/tt0266543/,2003,147,"Animation, Adventure, Comedy",8.1,"993,196",$380.84M
96,White Material,Claire Denis,/title/tt1135952/,2009,147,"Drama, War",6.9,"7,518",$0.30M
97,Ten,Abbas Kiarostami,/title/tt0301978/,2002,147,Drama,7.5,"7,543",$0.11M
98,The Gleaners & I,Agnès Varda,/title/tt0247380/,2000,147,Documentary,7.7,"6,998",$0.15M
99,Carlos,Edgar Ramírez,/title/tt1321865/,2010,147,"Biography, Crime, Drama",7.6,"13,576",$0.15M
100,Requiem for a Dream,Darren Aronofsky,/title/tt0180093/,2000,147,Drama,8.3,"802,798",$3.64M
101,Toni Erdmann,Maren Ade,/title/tt4048272/,2016,147,"Comedy, Drama",7.4,"46,943",$1.48M
